resource type,region,demand,shortage,supply
Crew 1,AICC,124,0,124
Crew 2IA,AICC,41.5,0,41.5
Crew 2,AICC,0,0,0
Engine 3,AICC,0.5,0.5,0
Engine 4,AICC,0,0,0
Engine 5,AICC,0,0,0
Engine 6,AICC,0.833333333,0,0.833333333
Engine 7,AICC,0.166666667,0,0.166666667
Dozer 1,AICC,0,0,0
Dozer 2,AICC,0,0,0
Dozer 3,AICC,0,0,0
Dozer 4,AICC,0,0,0
Module 1,AICC,17.666666667,0,17.666666667
Module 2,AICC,13.333333333,0,13.333333333
Water 1,AICC,0,0,0
Water 2,AICC,0,0,0
Crew 1,NWCC,827.166666667,114.5,712.666666667
Crew 2IA,NWCC,844.333333333,131,713.333333333
Crew 2,NWCC,134.333333333,102,32.333333333
Engine 3,NWCC,552.5,56,496.5
Engine 4,NWCC,260.5,7.5,253
Engine 5,NWCC,1,1,0
Engine 6,NWCC,1261.333333333,30,1231.333333333
Engine 7,NWCC,29.166666667,14,15.166666667
Dozer 1,NWCC,1.5,1.5,0
Dozer 2,NWCC,21.333333333,10,11.333333333
Dozer 3,NWCC,22.833333333,0.5,22.333333333
Dozer 4,NWCC,1.5,1.5,0
Module 1,NWCC,80.666666667,20,60.666666667
Module 2,NWCC,124.333333333,21.5,102.833333333
Water 1,NWCC,2.5,2.5,0
Water 2,NWCC,19.5,9.5,10
Crew 1,ONCC,819.666666667,207,612.666666667
Crew 2IA,ONCC,423,77.5,345.5
Crew 2,ONCC,151.5,63.5,88
Engine 3,ONCC,2724.333333333,256.5,2467.833333333
Engine 4,ONCC,79.333333333,12,67.333333333
Engine 5,ONCC,0,0,0
Engine 6,ONCC,313.833333333,22.5,291.333333333
Engine 7,ONCC,13.166666667,6.5,6.666666667
Dozer 1,ONCC,0,0,0
Dozer 2,ONCC,286.5,14.5,272
Dozer 3,ONCC,12,9.5,2.5
Dozer 4,ONCC,9.5,9.5,0
Module 1,ONCC,37.333333333,12.5,24.833333333
Module 2,ONCC,97.166666667,10,87.166666667
Water 1,ONCC,9.666666667,3,6.666666667
Water 2,ONCC,343.833333333,30,313.833333333
Crew 1,OSCC,868.333333333,75.5,792.833333333
Crew 2IA,OSCC,561.333333333,47.5,513.833333333
Crew 2,OSCC,617.5,39,578.5
Engine 3,OSCC,3761.5,101.5,3660
Engine 4,OSCC,37.833333333,1.5,36.333333333
Engine 5,OSCC,0,0,0
Engine 6,OSCC,183,24.5,158.5
Engine 7,OSCC,137.333333333,19.5,117.833333333
Dozer 1,OSCC,14.5,14.5,0
Dozer 2,OSCC,369.166666667,24,345.166666667
Dozer 3,OSCC,1.166666667,0,1.166666667
Dozer 4,OSCC,8.5,8.5,0
Module 1,OSCC,9.833333333,6,3.833333333
Module 2,OSCC,168.833333333,4.5,164.333333333
Water 1,OSCC,2,2,0
Water 2,OSCC,577.166666667,66.5,510.666666667
Crew 1,NRCC,395.666666667,86,309.666666667
Crew 2IA,NRCC,368.166666667,77,291.166666667
Crew 2,NRCC,30.666666667,25,5.666666667
Engine 3,NRCC,50.666666667,9.5,41.166666667
Engine 4,NRCC,100.833333333,2.5,98.333333333
Engine 5,NRCC,0,0,0
Engine 6,NRCC,1037.333333333,23,1014.333333333
Engine 7,NRCC,3.5,0.5,3
Dozer 1,NRCC,0,0,0
Dozer 2,NRCC,2,0,2
Dozer 3,NRCC,3.166666667,0.5,2.666666667
Dozer 4,NRCC,1.5,0,1.5
Module 1,NRCC,56.166666667,14.5,41.666666667
Module 2,NRCC,88.333333333,15,73.333333333
Water 1,NRCC,0,0,0
Water 2,NRCC,7.5,5,2.5
Crew 1,GBCC,638.666666667,115.5,523.166666667
Crew 2IA,GBCC,452.5,78.5,374
Crew 2,GBCC,42.666666667,12.5,30.166666667
Engine 3,GBCC,395.5,25,370.5
Engine 4,GBCC,436.333333333,7,429.333333333
Engine 5,GBCC,0,0,0
Engine 6,GBCC,796.333333333,9.5,786.833333333
Engine 7,GBCC,24.5,0,24.5
Dozer 1,GBCC,0,0,0
Dozer 2,GBCC,21.333333333,1.5,19.833333333
Dozer 3,GBCC,6,0.5,5.5
Dozer 4,GBCC,2.333333333,0,2.333333333
Module 1,GBCC,121.666666667,29,92.666666667
Module 2,GBCC,190.666666667,12,178.666666667
Water 1,GBCC,0,0,0
Water 2,GBCC,19.666666667,6.5,13.166666667
Crew 1,SWCC,889.5,29.5,860
Crew 2IA,SWCC,314,20.5,293.5
Crew 2,SWCC,40.166666667,5.5,34.666666667
Engine 3,SWCC,647.833333333,8.5,639.333333333
Engine 4,SWCC,58.166666667,0.5,57.666666667
Engine 5,SWCC,0,0,0
Engine 6,SWCC,1206,6,1200
Engine 7,SWCC,0,0,0
Dozer 1,SWCC,0.5,0.5,0
Dozer 2,SWCC,100.166666667,2,98.166666667
Dozer 3,SWCC,22,1,21
Dozer 4,SWCC,0,0,0
Module 1,SWCC,46.5,8,38.5
Module 2,SWCC,82,7,75
Water 1,SWCC,3.833333333,0,3.833333333
Water 2,SWCC,71.166666667,21,50.166666667
Crew 1,RMCC,247.666666667,39.5,208.166666667
Crew 2IA,RMCC,160.833333333,14,146.833333333
Crew 2,RMCC,15.166666667,8.5,6.666666667
Engine 3,RMCC,72.833333333,24,48.833333333
Engine 4,RMCC,43.5,2.5,41
Engine 5,RMCC,0.5,0.5,0
Engine 6,RMCC,536.666666667,12,524.666666667
Engine 7,RMCC,13.666666667,0,13.666666667
Dozer 1,RMCC,1.5,1.5,0
Dozer 2,RMCC,35,0.5,34.5
Dozer 3,RMCC,28.833333333,0,28.833333333
Dozer 4,RMCC,2.5,0,2.5
Module 1,RMCC,79.333333333,11,68.333333333
Module 2,RMCC,85.666666667,5,80.666666667
Water 1,RMCC,1,1,0
Water 2,RMCC,9.333333333,6.5,2.833333333
Crew 1,EACC,18.5,1,17.5
Crew 2IA,EACC,28,1,27
Crew 2,EACC,8,0,8
Engine 3,EACC,15.333333333,0,15.333333333
Engine 4,EACC,1,0,1
Engine 5,EACC,0,0,0
Engine 6,EACC,283.666666667,2,281.666666667
Engine 7,EACC,0,0,0
Dozer 1,EACC,0,0,0
Dozer 2,EACC,0,0,0
Dozer 3,EACC,111.166666667,0,111.166666667
Dozer 4,EACC,1.333333333,0,1.333333333
Module 1,EACC,14.5,2,12.5
Module 2,EACC,4.5,1,3.5
Water 1,EACC,1.5,0,1.5
Water 2,EACC,0.166666667,0,0.166666667
Crew 1,SACC,33.333333333,2,31.333333333
Crew 2IA,SACC,30.666666667,0.5,30.166666667
Crew 2,SACC,5.833333333,0.5,5.333333333
Engine 3,SACC,16.666666667,0.5,16.166666667
Engine 4,SACC,0.666666667,0,0.666666667
Engine 5,SACC,0,0,0
Engine 6,SACC,603,3,600
Engine 7,SACC,21.166666667,0,21.166666667
Dozer 1,SACC,0,0,0
Dozer 2,SACC,16.666666667,1,15.666666667
Dozer 3,SACC,80.5,3.5,77
Dozer 4,SACC,36,0,36
Module 1,SACC,0.333333333,0,0.333333333
Module 2,SACC,10.166666667,0,10.166666667
Water 1,SACC,0,0,0
Water 2,SACC,5.333333333,0,5.333333333
