Crew_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,38,426.166666667,4.833333333,5.166666667,35.333333333,24.833333333,51.5,20.166666667,0,0
ONCC,41,39,354.833333333,70.166666667,40.833333333,45.666666667,48.333333333,14.333333333,0.333333333,0
OSCC,24.833333333,75.166666667,144.166666667,655.333333333,21.333333333,72.333333333,90.666666667,30.166666667,0,7.833333333
NRCC,5.666666667,20.333333333,15.166666667,5.333333333,151.666666667,29.833333333,39.666666667,18.166666667,2,0
GBCC,0,33.166666667,24,6.666666667,18.5,246.833333333,35,8.833333333,1.833333333,2.666666667
SWCC,8.166666667,80.5,45.333333333,28.166666667,22.833333333,65,557.666666667,12.666666667,0.666666667,7.833333333
RMCC,5,32.333333333,18.5,8.833333333,19.166666667,25,28.666666667,96.833333333,11.5,3
EACC,0,4,0,0,0,2.666666667,7.333333333,0,1.166666667,0
SACC,1.333333333,2,5.833333333,13.166666667,0,11,1.166666667,7,0,10
Crew_2IA,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,7.833333333,5,0,0,5.5,1.333333333,0,0,0,0
NWCC,17.666666667,611.333333333,6.666666667,12.833333333,8.666666667,25.5,21,21.833333333,0,2.166666667
ONCC,0,19,205.833333333,33.333333333,0,11,14.5,5.166666667,2.833333333,0
OSCC,4,17,73.666666667,457.833333333,0,18.666666667,60.333333333,18.166666667,0,5
NRCC,12,5.333333333,9.333333333,0,228.666666667,20,34,14.333333333,1.166666667,0
GBCC,0,8.333333333,11.333333333,5.833333333,21,252.5,19.5,4,2.833333333,0
SWCC,0,19.166666667,15.333333333,0.166666667,9.833333333,14.666666667,137.5,5.5,0,2.166666667
RMCC,0,8.166666667,4.333333333,0,3.5,14.666666667,3.666666667,56,5.833333333,0
EACC,0,13.833333333,8.833333333,1.333333333,11.666666667,11.666666667,0,14.166666667,9.5,0
SACC,0,6.166666667,10.166666667,2.5,2.333333333,4,3,7.666666667,4.833333333,20.833333333
Crew_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,27.666666667,1.833333333,0,0,0.666666667,3,0,0,0
ONCC,0,0.166666667,51.833333333,7.833333333,0,0,0,0,0,0
OSCC,0,4.5,28.666666667,570.666666667,0,6,29.333333333,0,0,0
NRCC,0,0,0,0,5.666666667,0,0,0,0,0
GBCC,0,0,0,0,0,21.166666667,0,1.5,0,0
SWCC,0,0,0,0,0,0,0.333333333,0,0,0
RMCC,0,0,0,0,0,2.333333333,0,0.5,0,0
EACC,0,0,0,0,0,0,0,0,6.666666667,0
SACC,0,0,5.666666667,0,0,0,2,4.666666667,1.333333333,5.333333333
Engine_3,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,409.5,16.5,9.666666667,0,14,28.666666667,5.833333333,0,0
ONCC,0,24.166666667,1864.166666667,220,0,30.5,61.333333333,0,3.333333333,4
OSCC,0,10.166666667,512.166666667,3394,3,11.666666667,100.166666667,10.666666667,5.166666667,1.666666667
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,9.166666667,23.833333333,17.333333333,0,307.5,17.666666667,5.5,0,1.333333333
SWCC,0,40.5,45.333333333,19,37,6.666666667,431.5,8.666666667,0,9.166666667
RMCC,0,3,0,0,1.166666667,0.166666667,0,18.166666667,0,0
EACC,0,0,5.833333333,0,0,0,0,0,6.833333333,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_4,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,234.166666667,1.666666667,2.333333333,0,7.666666667,14.5,6,0,0
ONCC,0,0,0,0,7.166666667,0.333333333,0,0,0,0
OSCC,0,0,0,23.333333333,0,0,0,0,0,0
NRCC,0,7.333333333,0,0,80.166666667,3.833333333,7,3.5,0,0
GBCC,0,11.333333333,61.166666667,8.333333333,9,417.5,9,13.5,0,0.5
SWCC,0,0.166666667,0.333333333,2.333333333,2,0,24.833333333,0,0,0
RMCC,0,0,4.166666667,0,0,0,2.333333333,18,0,0
EACC,0,0,0,0,0,0,0,0,1,0
SACC,0,0,0,0,0,0,0,0,0,0.166666667
Engine_5,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,0,0,0,0,0,0,0,0,0
ONCC,0,0,0,0,0,0,0,0,0,0
OSCC,0,0,0,0,0,0,0,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_6,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0.833333333,5.833333333,0,0,0,2.833333333,0,0,0,0
NWCC,0,1019.833333333,24.333333333,10.666666667,2.166666667,15.666666667,44.166666667,19.666666667,0.5,14.333333333
ONCC,0,0,10,4.666666667,19,1.833333333,0,0,0.5,3.166666667
OSCC,0,0,0,60.166666667,0,0,0,0,0,0
NRCC,0,21.833333333,36,13.833333333,763,24.666666667,104.833333333,50.666666667,6.666666667,59.166666667
GBCC,0,16.5,44.333333333,10.5,32.5,650,43.833333333,20.166666667,2.666666667,30.333333333
SWCC,0,64.166666667,79.166666667,23,98.333333333,30,925,25,1.666666667,47.666666667
RMCC,0,32.833333333,50.166666667,3.666666667,16.666666667,19,23.5,371.5,3,27.833333333
EACC,0,34.333333333,19.5,18.166666667,50.666666667,16.666666667,19.5,9.166666667,244.333333333,1.5
SACC,0,36,27.833333333,13.833333333,32,26.166666667,39.166666667,28.5,22.333333333,416
