crewtype,region,gacc_pl,national_pl,drawndown,mobile,staffing
Crew 1,AICC,1,1,0,0,0
Crew 1,AICC,1,2,0,0,0
Crew 1,AICC,1,3,0,0,0
Crew 1,AICC,1,4,0,0,0
Crew 1,AICC,1,5,0,0,0
Crew 1,AICC,2,1,0,0,0
Crew 1,AICC,2,2,0,0,0
Crew 1,AICC,2,3,0,0,0
Crew 1,AICC,2,4,0,0,0
Crew 1,AICC,2,5,0,0,0
Crew 1,AICC,3,1,0,0,0
Crew 1,AICC,3,2,0,0,0
Crew 1,AICC,3,3,0,0,0
Crew 1,AICC,3,4,0,0,0
Crew 1,AICC,3,5,0,0,0
Crew 1,AICC,4,1,0,0,0
Crew 1,AICC,4,2,0,0,0
Crew 1,AICC,4,3,0,0,0
Crew 1,AICC,4,4,0,0,0
Crew 1,AICC,4,5,0,0,0
Crew 1,AICC,5,1,0,0,0
Crew 1,AICC,5,2,0,0,0
Crew 1,AICC,5,3,0,0,0
Crew 1,AICC,5,4,0,0,0
Crew 1,AICC,5,5,0,0,0
Crew 1,NWCC,1,1,9.8333333333,0,9.8333333333
Crew 1,NWCC,1,2,6.5,3.3333333333,9.8333333333
Crew 1,NWCC,1,3,8,1.8333333333,9.8333333333
Crew 1,NWCC,1,4,9.8333333333,0,9.8333333333
Crew 1,NWCC,1,5,9.8333333333,0,9.8333333333
Crew 1,NWCC,2,1,9.8333333333,0,9.8333333333
Crew 1,NWCC,2,2,7.8333333333,2,9.8333333333
Crew 1,NWCC,2,3,4.8333333333,5,9.8333333333
Crew 1,NWCC,2,4,8.8333333333,1,9.8333333333
Crew 1,NWCC,2,5,9.8333333333,0,9.8333333333
Crew 1,NWCC,3,1,9.8333333333,0,9.8333333333
Crew 1,NWCC,3,2,9.8333333333,0,9.8333333333
Crew 1,NWCC,3,3,7.8333333333,2,9.8333333333
Crew 1,NWCC,3,4,6.5,3.3333333333,9.8333333333
Crew 1,NWCC,3,5,9.1666666667,0.6666666667,9.8333333333
Crew 1,NWCC,4,1,9.8333333333,0,9.8333333333
Crew 1,NWCC,4,2,9.8333333333,0,9.8333333333
Crew 1,NWCC,4,3,9.6666666667,0.1666666667,9.8333333333
Crew 1,NWCC,4,4,9.3333333333,0.5,9.8333333333
Crew 1,NWCC,4,5,9.1666666667,0.6666666667,9.8333333333
Crew 1,NWCC,5,1,9.8333333333,0,9.8333333333
Crew 1,NWCC,5,2,9.8333333333,0,9.8333333333
Crew 1,NWCC,5,3,9.8333333333,0,9.8333333333
Crew 1,NWCC,5,4,9.6666666667,0.1666666667,9.8333333333
Crew 1,NWCC,5,5,9.8333333333,0,9.8333333333
