resource type,region,demand,shortage,supply
Crew 1,AICC,60,0,60
Crew 2IA,AICC,10,0,10
Crew 2,AICC,0,0,0
Engine 3,AICC,0,0,0
Engine 4,AICC,0,0,0
Engine 5,AICC,0,0,0
Engine 6,AICC,0,0,0
Engine 7,AICC,0,0,0
Dozer 1,AICC,0,0,0
Dozer 2,AICC,0,0,0
Dozer 3,AICC,0,0,0
Dozer 4,AICC,0,0,0
Module 1,AICC,0,0,0
Module 2,AICC,0,0,0
Water 1,AICC,0,0,0
Water 2,AICC,0,0,0
Crew 1,NWCC,494,48,446
Crew 2IA,NWCC,459,27,432
Crew 2,NWCC,123,99,24
Engine 3,NWCC,434,27,407
Engine 4,NWCC,251,9,242
Engine 5,NWCC,0,0,0
Engine 6,NWCC,980,33,947
Engine 7,NWCC,0,0,0
Dozer 1,NWCC,0,0,0
Dozer 2,NWCC,23,21,2
Dozer 3,NWCC,0,0,0
Dozer 4,NWCC,0,0,0
Module 1,NWCC,0,0,0
Module 2,NWCC,33,0,33
Water 1,NWCC,0,0,0
Water 2,NWCC,0,0,0
Crew 1,ONCC,300,51,249
Crew 2IA,ONCC,248,6,242
Crew 2,ONCC,100,60,40
Engine 3,ONCC,2323,108,2215
Engine 4,ONCC,35,0,35
Engine 5,ONCC,0,0,0
Engine 6,ONCC,212,6,206
Engine 7,ONCC,3,0,3
Dozer 1,ONCC,0,0,0
Dozer 2,ONCC,151,6,145
Dozer 3,ONCC,0,0,0
Dozer 4,ONCC,3,3,0
Module 1,ONCC,0,0,0
Module 2,ONCC,47,3,44
Water 1,ONCC,27,0,27
Water 2,ONCC,241,0,241
Crew 1,OSCC,1644,198,1446
Crew 2IA,OSCC,857,141,716
Crew 2,OSCC,1035,165,870
Engine 3,OSCC,5670,372,5298
Engine 4,OSCC,14,9,5
Engine 5,OSCC,0,0,0
Engine 6,OSCC,458,39,419
Engine 7,OSCC,139,111,28
Dozer 1,OSCC,57,57,0
Dozer 2,OSCC,614,99,515
Dozer 3,OSCC,0,0,0
Dozer 4,OSCC,51,51,0
Module 1,OSCC,23,0,23
Module 2,OSCC,342,6,336
Water 1,OSCC,3,3,0
Water 2,OSCC,680,174,506
Crew 1,NRCC,162,3,159
Crew 2IA,NRCC,93,9,84
Crew 2,NRCC,3,3,0
Engine 3,NRCC,0,0,0
Engine 4,NRCC,113,0,113
Engine 5,NRCC,0,0,0
Engine 6,NRCC,778,0,778
Engine 7,NRCC,0,0,0
Dozer 1,NRCC,0,0,0
Dozer 2,NRCC,0,0,0
Dozer 3,NRCC,0,0,0
Dozer 4,NRCC,0,0,0
Module 1,NRCC,22,0,22
Module 2,NRCC,27,6,21
Water 1,NRCC,0,0,0
Water 2,NRCC,4,0,4
Crew 1,GBCC,635,123,512
Crew 2IA,GBCC,268,36,232
Crew 2,GBCC,119,24,95
Engine 3,GBCC,397,9,388
Engine 4,GBCC,848,3,845
Engine 5,GBCC,0,0,0
Engine 6,GBCC,952,3,949
Engine 7,GBCC,22,0,22
Dozer 1,GBCC,0,0,0
Dozer 2,GBCC,49,0,49
Dozer 3,GBCC,1,0,1
Dozer 4,GBCC,0,0,0
Module 1,GBCC,106,27,79
Module 2,GBCC,125,3,122
Water 1,GBCC,0,0,0
Water 2,GBCC,11,3,8
Crew 1,SWCC,980,6,974
Crew 2IA,SWCC,321,0,321
Crew 2,SWCC,1,0,1
Engine 3,SWCC,432,12,420
Engine 4,SWCC,4,3,1
Engine 5,SWCC,0,0,0
Engine 6,SWCC,1110,0,1110
Engine 7,SWCC,0,0,0
Dozer 1,SWCC,0,0,0
Dozer 2,SWCC,83,0,83
Dozer 3,SWCC,5,0,5
Dozer 4,SWCC,0,0,0
Module 1,SWCC,40,0,40
Module 2,SWCC,46,0,46
Water 1,SWCC,1,0,1
Water 2,SWCC,51,3,48
Crew 1,RMCC,572,156,416
Crew 2IA,RMCC,226,48,178
Crew 2,RMCC,47,27,20
Engine 3,RMCC,173,51,122
Engine 4,RMCC,133,0,133
Engine 5,RMCC,0,0,0
Engine 6,RMCC,1400,12,1388
Engine 7,RMCC,13,0,13
Dozer 1,RMCC,6,6,0
Dozer 2,RMCC,113,0,113
Dozer 3,RMCC,6,0,6
Dozer 4,RMCC,0,0,0
Module 1,RMCC,145,12,133
Module 2,RMCC,171,6,165
Water 1,RMCC,0,0,0
Water 2,RMCC,32,15,17
Crew 1,EACC,0,0,0
Crew 2IA,EACC,0,0,0
Crew 2,EACC,0,0,0
Engine 3,EACC,0,0,0
Engine 4,EACC,0,0,0
Engine 5,EACC,0,0,0
Engine 6,EACC,15,0,15
Engine 7,EACC,0,0,0
Dozer 1,EACC,0,0,0
Dozer 2,EACC,0,0,0
Dozer 3,EACC,26,0,26
Dozer 4,EACC,0,0,0
Module 1,EACC,15,0,15
Module 2,EACC,0,0,0
Water 1,EACC,6,0,6
Water 2,EACC,1,0,1
Crew 1,SACC,0,0,0
Crew 2IA,SACC,1,0,1
Crew 2,SACC,0,0,0
Engine 3,SACC,0,0,0
Engine 4,SACC,0,0,0
Engine 5,SACC,0,0,0
Engine 6,SACC,149,0,149
Engine 7,SACC,0,0,0
Dozer 1,SACC,0,0,0
Dozer 2,SACC,0,0,0
Dozer 3,SACC,1,0,1
Dozer 4,SACC,0,0,0
Module 1,SACC,0,0,0
Module 2,SACC,0,0,0
Water 1,SACC,0,0,0
Water 2,SACC,0,0,0
