Crew_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,478,13,3,0,17,18,33,0,0
ONCC,23,100,404,195,66,106,26,56,0,0
OSCC,37,63,163,795,23,220,17,14,0,10
NRCC,0,25,0,18,128,95,22,18,4,0
GBCC,0,0,0,15,0,278,6,38,0,0
SWCC,14,139,19,18,23,134,538,0,0,18
RMCC,0,63,12,28,9,45,33,65,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,11,0,30,0,11,0,3
Crew_2IA,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,15,15,0,0,17,8,0,0,0,0
NWCC,0,783,4,26,15,33,0,14,0,0
ONCC,0,49,327,77,0,35,5,7,17,0
OSCC,0,5,39,558,0,79,1,46,0,0
NRCC,0,0,24,0,219,32,7,27,0,0
GBCC,0,0,5,0,0,264,0,1,0,0
SWCC,0,13,48,1,0,39,76,11,0,0
RMCC,0,0,0,0,0,40,0,65,0,0
EACC,0,0,0,0,0,39,0,19,19,0
SACC,0,0,45,0,0,9,0,19,3,11
Crew_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,55,0,0,0,0,0,0,0,0
ONCC,0,0,80,33,0,0,0,0,0,0
OSCC,0,27,35,876,0,0,0,0,0,0
NRCC,0,0,0,0,14,0,0,0,0,0
GBCC,0,0,0,0,0,37,0,9,0,0
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,0,0,0,0,0,14,0,0,0,0
EACC,0,0,0,0,0,0,0,0,22,0
SACC,0,0,0,0,0,0,0,0,8,0
Engine_3,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,684,0,13,0,43,23,0,0,0
ONCC,0,2,2330,487,0,17,0,0,0,3
OSCC,0,0,144,4371,0,19,35,0,1,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,6,0,6,0,596,6,0,0,0
SWCC,0,35,9,0,47,16,537,20,0,0
RMCC,0,0,0,0,0,0,0,14,0,0
EACC,0,0,0,0,0,0,0,0,18,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_4,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,358,0,0,0,0,0,0,0,0
ONCC,0,0,0,0,38,2,0,0,0,0
OSCC,0,0,0,54,0,0,0,0,0,0
NRCC,0,0,0,0,64,16,0,0,0,0
GBCC,0,0,0,9,0,536,0,0,0,0
SWCC,0,0,2,0,0,0,30,0,0,0
RMCC,0,0,0,0,0,0,0,38,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_5,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,0,0,0,0,0,0,0,0,0
ONCC,0,0,0,0,0,0,0,0,0,0
OSCC,0,0,0,0,0,0,0,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,0,0
