resource type,region,demand,shortage,supply
Crew 1,AICC,127.8333333,4,123.8333333
Crew 2IA,AICC,41.5,0,41.5
Crew 2,AICC,0,0,0
Engine 3,AICC,0.5,0,0.5
Engine 4,AICC,0,0,0
Engine 5,AICC,0,0,0
Engine 6,AICC,0.833333333,0,0.833333333
Engine 7,AICC,0.166666667,0,0.166666667
Dozer 1,AICC,0,0,0
Dozer 2,AICC,0,0,0
Dozer 3,AICC,0,0,0
Dozer 4,AICC,0,0,0
Module 1,AICC,17.66666667,7.166666667,10.5
Module 2,AICC,13.33333333,0,13.33333333
Water 1,AICC,0,0,0
Water 2,AICC,0,0,0
Crew 1,NWCC,834.6666667,4.833333333,829.8333333
Crew 2IA,NWCC,846.1666667,1.166666667,845
Crew 2,NWCC,134.3333333,40,94.33333333
Engine 3,NWCC,552.5,0,552.5
Engine 4,NWCC,260.5,0,260.5
Engine 5,NWCC,1,1,0
Engine 6,NWCC,1275.166667,0,1275.166667
Engine 7,NWCC,29.16666667,0.333333333,28.83333333
Dozer 1,NWCC,1.5,1.5,0
Dozer 2,NWCC,21.33333333,2.166666667,19.16666667
Dozer 3,NWCC,26.33333333,0,26.33333333
Dozer 4,NWCC,1.5,0,1.5
Module 1,NWCC,80.66666667,14.66666667,66
Module 2,NWCC,124.3333333,0,124.3333333
Water 1,NWCC,2.5,2,0.5
Water 2,NWCC,19.5,0,19.5
Crew 1,ONCC,819.6666667,26.5,793.1666667
Crew 2IA,ONCC,423,3.5,419.5
Crew 2,ONCC,151.5,17.33333333,134.1666667
Engine 3,ONCC,2726.5,0,2726.5
Engine 4,ONCC,79.33333333,4.833333333,74.5
Engine 5,ONCC,0,0,0
Engine 6,ONCC,313.8333333,0,313.8333333
Engine 7,ONCC,13.16666667,0,13.16666667
Dozer 1,ONCC,0,0,0
Dozer 2,ONCC,286.5,0,286.5
Dozer 3,ONCC,12,0,12
Dozer 4,ONCC,9.5,7,2.5
Module 1,ONCC,37.33333333,5.833333333,31.5
Module 2,ONCC,97.16666667,0.166666667,97
Water 1,ONCC,9.666666667,1.5,8.166666667
Water 2,ONCC,343.8333333,0,343.8333333
Crew 1,OSCC,868.3333333,18.83333333,849.5
Crew 2IA,OSCC,561.3333333,18.16666667,543.1666667
Crew 2,OSCC,617.5,18.33333333,599.1666667
Engine 3,OSCC,3762.166667,0,3762.166667
Engine 4,OSCC,37.83333333,0,37.83333333
Engine 5,OSCC,0,0,0
Engine 6,OSCC,185.3333333,0,185.3333333
Engine 7,OSCC,137.3333333,3.5,133.8333333
Dozer 1,OSCC,14.5,14.5,0
Dozer 2,OSCC,369.1666667,6.5,362.6666667
Dozer 3,OSCC,1.166666667,0,1.166666667
Dozer 4,OSCC,8.5,5,3.5
Module 1,OSCC,9.833333333,4.5,5.333333333
Module 2,OSCC,168.8333333,2,166.8333333
Water 1,OSCC,2,2,0
Water 2,OSCC,577.1666667,6.833333333,570.3333333
Crew 1,NRCC,397,3.5,393.5
Crew 2IA,NRCC,369.3333333,2,367.3333333
Crew 2,NRCC,30.66666667,6.333333333,24.33333333
Engine 3,NRCC,50.66666667,0,50.66666667
Engine 4,NRCC,105.5,0,105.5
Engine 5,NRCC,0,0,0
Engine 6,NRCC,1070.166667,0,1070.166667
Engine 7,NRCC,3.5,0,3.5
Dozer 1,NRCC,0,0,0
Dozer 2,NRCC,2,0,2
Dozer 3,NRCC,3.166666667,0,3.166666667
Dozer 4,NRCC,1.5,0,1.5
Module 1,NRCC,56.16666667,5,51.16666667
Module 2,NRCC,88.33333333,0,88.33333333
Water 1,NRCC,0,0,0
Water 2,NRCC,7.5,0,7.5
Crew 1,GBCC,644.3333333,10.66666667,633.6666667
Crew 2IA,GBCC,476.1666667,0,476.1666667
Crew 2,GBCC,42.66666667,4.5,38.16666667
Engine 3,GBCC,412.1666667,0,412.1666667
Engine 4,GBCC,436.3333333,0,436.3333333
Engine 5,GBCC,0,0,0
Engine 6,GBCC,799.3333333,0,799.3333333
Engine 7,GBCC,24.5,0,24.5
Dozer 1,GBCC,0,0,0
Dozer 2,GBCC,21.33333333,0,21.33333333
Dozer 3,GBCC,6,0,6
Dozer 4,GBCC,2.333333333,0,2.333333333
Module 1,GBCC,125.5,3.166666667,122.3333333
Module 2,GBCC,190.6666667,0,190.6666667
Water 1,GBCC,0,0,0
Water 2,GBCC,19.66666667,0.5,19.16666667
Crew 1,SWCC,890.6666667,0,890.6666667
Crew 2IA,SWCC,314,3.166666667,310.8333333
Crew 2,SWCC,40.16666667,0.5,39.66666667
Engine 3,SWCC,654,0,654
Engine 4,SWCC,58.16666667,0,58.16666667
Engine 5,SWCC,0,0,0
Engine 6,SWCC,1219,0,1219
Engine 7,SWCC,0,0,0
Dozer 1,SWCC,0.5,0.5,0
Dozer 2,SWCC,100.1666667,0,100.1666667
Dozer 3,SWCC,22,0,22
Dozer 4,SWCC,0,0,0
Module 1,SWCC,46.5,8.333333333,38.16666667
Module 2,SWCC,82,0,82
Water 1,SWCC,3.833333333,0,3.833333333
Water 2,SWCC,71.16666667,0,71.16666667
Crew 1,RMCC,252.6666667,13.83333333,238.8333333
Crew 2IA,RMCC,163.3333333,0,163.3333333
Crew 2,RMCC,15.16666667,7.5,7.666666667
Engine 3,RMCC,72.83333333,0.333333333,72.5
Engine 4,RMCC,43.5,0,43.5
Engine 5,RMCC,0.5,0.5,0
Engine 6,RMCC,536.6666667,0,536.6666667
Engine 7,RMCC,13.66666667,0,13.66666667
Dozer 1,RMCC,1.5,1.5,0
Dozer 2,RMCC,35,0,35
Dozer 3,RMCC,28.83333333,0,28.83333333
Dozer 4,RMCC,2.5,0,2.5
Module 1,RMCC,79.33333333,1.166666667,78.16666667
Module 2,RMCC,85.66666667,0,85.66666667
Water 1,RMCC,1,1,0
Water 2,RMCC,9.333333333,1.5,7.833333333
Crew 1,EACC,18.5,0,18.5
Crew 2IA,EACC,28,0,28
Crew 2,EACC,8,0,8
Engine 3,EACC,15.33333333,0,15.33333333
Engine 4,EACC,1,0,1
Engine 5,EACC,0,0,0
Engine 6,EACC,289.8333333,0,289.8333333
Engine 7,EACC,0.833333333,0,0.833333333
Dozer 1,EACC,0,0,0
Dozer 2,EACC,0,0,0
Dozer 3,EACC,111.1666667,0,111.1666667
Dozer 4,EACC,1.333333333,0,1.333333333
Module 1,EACC,14.5,1.5,13
Module 2,EACC,4.5,0,4.5
Water 1,EACC,1.5,0,1.5
Water 2,EACC,0.166666667,0,0.166666667
Crew 1,SACC,33.33333333,0,33.33333333
Crew 2IA,SACC,30.66666667,0,30.66666667
Crew 2,SACC,5.833333333,0,5.833333333
Engine 3,SACC,16.66666667,0,16.66666667
Engine 4,SACC,0.666666667,0,0.666666667
Engine 5,SACC,0,0,0
Engine 6,SACC,610.1666667,0,610.1666667
Engine 7,SACC,21.16666667,0,21.16666667
Dozer 1,SACC,0,0,0
Dozer 2,SACC,16.66666667,0,16.66666667
Dozer 3,SACC,84,0,84
Dozer 4,SACC,36,0,36
Module 1,SACC,0.333333333,0.333333333,0
Module 2,SACC,10.16666667,0,10.16666667
Water 1,SACC,0,0,0
Water 2,SACC,5.333333333,0,5.333333333
