Crew_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,88,798,20.5,0,13.167,2.167,1,3,0,0
ONCC,31.333,86.5,763.5,0.5,15.833,22.5,2,0,0,0
OSCC,2.5,36.333,122.833,1194,1.333,143.167,55.333,0,0,0
NRCC,3,9.5,6.833,0,366.833,4.333,2.167,11.667,0.833,0
GBCC,0,13.833,14,0.333,10.833,526.833,33.667,1,0,0
SWCC,0,2.667,21.5,5.333,14.667,11,907.5,10.5,0,0.167
RMCC,0,3.833,2.333,0,27.167,2.5,32.667,269,5.167,0.667
EACC,0,0,0,0,0,0,0,0,23.167,0
SACC,0,0,0.667,0.667,2.5,0.833,0,2.833,4.5,50.833
Crew_2IA,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,16,0,0,0,0,0,0,0,0,0
NWCC,24.5,755.667,27.667,2.5,4.167,4.5,1.5,0,0,0
ONCC,0,20.833,261.667,0.5,0.833,5.667,0.5,0,0,0
OSCC,0,5.333,28.667,518.833,0.667,18.167,7.333,0,0,0
NRCC,0,14,3.833,0,309.333,2.333,1.167,5.167,0,0
GBCC,0,9.167,7.333,1.5,6,388.333,20,0.667,0,0
SWCC,0,0.667,2.667,1.833,1.5,2,150.5,0.5,0,0
RMCC,0,3.167,1.833,0,7.5,0.833,21.167,108.333,0.167,0.167
EACC,0,1.5,0,1.333,0.5,0.167,0,1,19.667,0
SACC,0,0.333,0.333,0.833,0.333,0.333,0,0.5,1,18
Crew_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,32.167,0.167,0,0.5,0.333,0,0,0,0
ONCC,0,4.667,59.167,0,0.667,0.333,0,0,0,0
OSCC,0,7.333,20.167,264.333,0.167,1.667,7.667,0.167,0,0
NRCC,0,0,0,0,8.167,0,0,0,0,0
GBCC,0,0,0,0,0,14.167,0,0,0,0
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_3,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0.5,548.833,1.833,0,0.5,0,0,0.667,0,0
ONCC,0,3.667,2723.333,0,0,0,0,0,0,0
OSCC,0,0,6.167,3762.167,0,0.833,0,0.333,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,0,0,10.833,411.333,0,4.167,0,0
SWCC,0,0,0,0,0,0,654,11,0.333,4.167
RMCC,0,0,0,0,39.333,0,0,56.333,2.833,12.5
EACC,0,0,0,0,0,0,0,0,12.167,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_4,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,330.167,52.167,0,0,0,0,0,0,0
ONCC,0,0,0,0,0,0,0,0,0,0
OSCC,0,0,41.167,61.667,0,0,0,0,0,0
NRCC,0,0,0.833,0,134,0,0,7.833,0.5,0.167
GBCC,0,0,6.333,0,0,504.167,0.333,0,0,0
SWCC,0,0,0,0,0,0,90.667,0.167,0,0
RMCC,0,0,0,0,0,0,1.667,74.833,0.5,0.5
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_5,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,0,0,0,0,0,0,0,0,0
ONCC,0,0,0,0,0,0,0,0,0,0
OSCC,0,0,0,0,0,0,0,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_6,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0.833,0,0,0,0,0,0,0,0,0
NWCC,0,1206.833,81.167,0,0,0,0,0,0,0
ONCC,0,0,139.833,0.5,0,0,0,0,0,0
OSCC,0,0,61.167,163.167,0,0,0,0,0,0
NRCC,0,0,2.167,0,1041.667,0,0,0,0,0
GBCC,0,0,0,1.333,0,731.5,0,0,0,0
SWCC,0,0,1.667,0,0,0,1184.5,0,0,0
RMCC,0,0,0,0,0,0,0,497.833,0,0
EACC,0,0,0,0,0,0,0,0,289.833,0
SACC,0,0,1.833,0,0,0,0,0,0,610.167
Engine_7,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0.167,19.833,0,0,0,0,0,0,0,0
ONCC,0,2.5,11.5,0,0,0,0,0,0,0
OSCC,0,2.833,1.667,133.833,0,0,0,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,3.167,0,0,0.667,24.5,0,0.167,0,0
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,0,0.167,0,0,2.833,0,0,13.5,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0.333,0,0,0,0,0,0,0.833,21.167
Dozer_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,0,0,0,0,0,0,0,0,0
ONCC,0,0,0,0,0,0,0,0,0,0
OSCC,0,0,0,0,0,0,0,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,0,0,0,0
Dozer_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,16.167,0,0,0,0,0,0,0,0
ONCC,0,3,285.333,2.667,0,0,0,0,0,0
OSCC,0,0,2.667,359,0,15,0,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0.5,1,0,2.5,100.167,0,0,0
RMCC,0,0,0,0,2,2.5,0,35,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0.167,0,1.333,0,0,0,16.667
Dozer_3,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,24,0,0,0,0,0,0,0,0
ONCC,0,0,0,0,0,0,0,0,0,0
OSCC,0,0,0,0,0,0,0,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,20.833,0,0,0
RMCC,0,1.5,5.833,1.167,2.333,5.5,0,28.5,0,0
EACC,0,0.833,3.5,3.833,0.833,0,0,0.333,111.167,0
SACC,0,0,7.667,0.5,0,0.5,1.167,0,0,84
Dozer_4,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,0,0,0,0,0,0,0,0,0
ONCC,0,0,0,0,0,0,0,0,0,0
OSCC,0,0,0,0,0,0,0,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,1.333,0
SACC,0,1.5,2.5,3.5,1.5,2.333,0,2.5,0,36
Module_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,45.167,0,0,0,0,0,0,0,0
ONCC,0,0,25.667,0,0,0,0,0,0,0
OSCC,0,0,0,0,0,0,0,0,0,0
NRCC,0,0,0,0,38.833,0,0,0,0,0
GBCC,6.667,16.167,4.833,4.667,2.167,119.5,10.5,0.167,0,0
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,4,4.833,1,0.667,10.167,2.833,27.667,78,2.667,0
EACC,0,0,0,0,0,0,0,0,10.333,0
SACC,0,0,0,0,0,0,0,0,0,0
Module_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,10.333,121,3.833,0.5,0.167,0,0,0,0,0
ONCC,2,1.5,78.333,0.167,0,0,0,0,0,0
OSCC,0,0,11.833,163.667,0,2.333,0,0,0,0
NRCC,1,0.167,0,0,84.167,0,0,0,0,0
GBCC,0,1.5,2.667,1.667,0.167,188.333,2.333,0,0,0
SWCC,0,0,0.333,0.833,0,0,73.667,0,0,0
RMCC,0,0,0.167,0,3.833,0,6,85.667,0,10.167
EACC,0,0,0,0,0,0,0,0,4.5,0
SACC,0,0,0,0,0,0,0,0,0,0
Water_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,6.667,0,0,0,0,0,0,0,0
ONCC,0,0,44.167,0,0,0,0,0,0,0
OSCC,0,0,0,0,0,0,0,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,32,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,1.5,0
SACC,0,0,0,0,0,0,0,0,0,0
Water_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,8.167,0,0,0,0,0,0,0,0
ONCC,0,5.167,307.833,0,0.333,0,0.667,0,0,0
OSCC,0,0,0,570.333,0,19.167,17.833,2.5,0,0
NRCC,0,0,0,0,7.167,0,0.167,4.5,0.167,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,24.333,0.833,0,5.333
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,0,0,0,0
