crewtype,region,gacc_pl,national_pl,drawndown,mobile,mobile_rate,staffing
Crew 1,AICC,1,1,0,0,0,0
Crew 1,AICC,1,2,0,0,0,0
Crew 1,AICC,1,3,0,0,0,0
Crew 1,AICC,1,4,0,0,0,0
Crew 1,AICC,1,5,0,0,0,0
Crew 1,AICC,2,1,0,0,0,0
Crew 1,AICC,2,2,0,0,0,0
Crew 1,AICC,2,3,0,0,0,0
Crew 1,AICC,2,4,0,0,0,0
Crew 1,AICC,2,5,0,0,0,0
Crew 1,AICC,3,1,0,0,0,0
Crew 1,AICC,3,2,0,0,0,0
Crew 1,AICC,3,3,0,0,0,0
Crew 1,AICC,3,4,0,0,0,0
Crew 1,AICC,3,5,0,0,0,0
Crew 1,AICC,4,1,0,0,0,0
Crew 1,AICC,4,2,0,0,0,0
Crew 1,AICC,4,3,0,0,0,0
Crew 1,AICC,4,4,0,0,0,0
Crew 1,AICC,4,5,0,0,0,0
Crew 1,AICC,5,1,0,0,0,0
Crew 1,AICC,5,2,0,0,0,0
Crew 1,AICC,5,3,0,0,0,0
Crew 1,AICC,5,4,0,0,0,0
Crew 1,AICC,5,5,0,0,0,0
Crew 1,NWCC,1,1,5,5,50,10
Crew 1,NWCC,1,2,5,5,50,10
Crew 1,NWCC,1,3,10,0,0,10
Crew 1,NWCC,1,4,5,5,50,10
Crew 1,NWCC,1,5,10,0,0,10
Crew 1,NWCC,2,1,5,5,50,10
Crew 1,NWCC,2,2,5,5,50,10
Crew 1,NWCC,2,3,5,5,50,10
Crew 1,NWCC,2,4,10,0,0,10
Crew 1,NWCC,2,5,5,5,50,10
Crew 1,NWCC,3,1,10,0,0,10
Crew 1,NWCC,3,2,10,0,0,10
Crew 1,NWCC,3,3,10,0,0,10
Crew 1,NWCC,3,4,10,0,0,10
Crew 1,NWCC,3,5,10,0,0,10
Crew 1,NWCC,4,1,10,0,0,10
Crew 1,NWCC,4,2,10,0,0,10
Crew 1,NWCC,4,3,10,0,0,10
Crew 1,NWCC,4,4,10,0,0,10
Crew 1,NWCC,4,5,10,0,0,10
Crew 1,NWCC,5,1,10,0,0,10
Crew 1,NWCC,5,2,10,0,0,10
Crew 1,NWCC,5,3,10,0,0,10
Crew 1,NWCC,5,4,10,0,0,10
Crew 1,NWCC,5,5,10,0,0,10
Crew 1,ONCC,1,1,7,7,50,14
Crew 1,ONCC,1,2,7,7,50,14
Crew 1,ONCC,1,3,7,7,50,14
Crew 1,ONCC,1,4,14,0,0,14
Crew 1,ONCC,1,5,7,7,50,14
Crew 1,ONCC,2,1,7,7,50,14
Crew 1,ONCC,2,2,14,0,0,14
Crew 1,ONCC,2,3,7,7,50,14
Crew 1,ONCC,2,4,7,7,50,14
Crew 1,ONCC,2,5,14,0,0,14
Crew 1,ONCC,3,1,14,0,0,14
Crew 1,ONCC,3,2,14,0,0,14
Crew 1,ONCC,3,3,11,3,21,14
Crew 1,ONCC,3,4,11,3,21,14
Crew 1,ONCC,3,5,14,0,0,14
Crew 1,ONCC,4,1,14,0,0,14
Crew 1,ONCC,4,2,14,0,0,14
Crew 1,ONCC,4,3,14,0,0,14
Crew 1,ONCC,4,4,14,0,0,14
Crew 1,ONCC,4,5,11,3,21,14
Crew 1,ONCC,5,1,14,0,0,14
Crew 1,ONCC,5,2,14,0,0,14
Crew 1,ONCC,5,3,14,0,0,14
Crew 1,ONCC,5,4,14,0,0,14
Crew 1,ONCC,5,5,14,0,0,14
Crew 1,OSCC,1,1,10,10,50,20
Crew 1,OSCC,1,2,10,10,50,20
Crew 1,OSCC,1,3,10,10,50,20
Crew 1,OSCC,1,4,20,0,0,20
Crew 1,OSCC,1,5,10,10,50,20
Crew 1,OSCC,2,1,10,10,50,20
Crew 1,OSCC,2,2,10,10,50,20
Crew 1,OSCC,2,3,10,10,50,20
Crew 1,OSCC,2,4,20,0,0,20
Crew 1,OSCC,2,5,20,0,0,20
Crew 1,OSCC,3,1,20,0,0,20
Crew 1,OSCC,3,2,20,0,0,20
Crew 1,OSCC,3,3,20,0,0,20
Crew 1,OSCC,3,4,20,0,0,20
Crew 1,OSCC,3,5,15,5,25,20
Crew 1,OSCC,4,1,20,0,0,20
Crew 1,OSCC,4,2,20,0,0,20
Crew 1,OSCC,4,3,20,0,0,20
Crew 1,OSCC,4,4,20,0,0,20
Crew 1,OSCC,4,5,15,5,25,20
Crew 1,OSCC,5,1,20,0,0,20
Crew 1,OSCC,5,2,20,0,0,20
Crew 1,OSCC,5,3,20,0,0,20
Crew 1,OSCC,5,4,20,0,0,20
Crew 1,OSCC,5,5,20,0,0,20
Crew 1,NRCC,1,1,3,3,50,6
Crew 1,NRCC,1,2,3,3,50,6
Crew 1,NRCC,1,3,3,3,50,6
Crew 1,NRCC,1,4,6,0,0,6
Crew 1,NRCC,1,5,3,3,50,6
Crew 1,NRCC,2,1,3,3,50,6
Crew 1,NRCC,2,2,6,0,0,6
Crew 1,NRCC,2,3,3,3,50,6
Crew 1,NRCC,2,4,3,3,50,6
Crew 1,NRCC,2,5,6,0,0,6
Crew 1,NRCC,3,1,6,0,0,6
Crew 1,NRCC,3,2,6,0,0,6
Crew 1,NRCC,3,3,6,0,0,6
Crew 1,NRCC,3,4,6,0,0,6
Crew 1,NRCC,3,5,6,0,0,6
Crew 1,NRCC,4,1,6,0,0,6
Crew 1,NRCC,4,2,6,0,0,6
Crew 1,NRCC,4,3,6,0,0,6
Crew 1,NRCC,4,4,6,0,0,6
Crew 1,NRCC,4,5,5,1,16,6
Crew 1,NRCC,5,1,6,0,0,6
Crew 1,NRCC,5,2,6,0,0,6
Crew 1,NRCC,5,3,6,0,0,6
Crew 1,NRCC,5,4,6,0,0,6
Crew 1,NRCC,5,5,6,0,0,6
Crew 1,GBCC,1,1,3,3,50,6
Crew 1,GBCC,1,2,3,3,50,6
Crew 1,GBCC,1,3,3,3,50,6
Crew 1,GBCC,1,4,6,0,0,6
Crew 1,GBCC,1,5,3,3,50,6
