Crew_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC,
AICC,0,0,0,0,0,0,0,0,0,0,
NWCC,88,798,21,0,13,2,1,3,0,0,
ONCC,31,87,764,1,16,23,2,0,0,0,
OSCC,3,36,123,"1,194",1,143,55,0,0,0,
NRCC,3,10,7,0,367,4,2,12,1,0,
GBCC,0,14,14,0,11,527,34,1,0,0,
SWCC,0,3,22,5,15,11,908,11,0,0,
RMCC,0,4,2,0,27,3,33,269,5,1,
EACC,0,0,0,0,0,0,0,0,23,0,
SACC,0,0,1,1,3,1,0,3,5,51,
Crew_2IA,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC,
AICC,16,0,0,0,0,0,0,0,0,0,
NWCC,25,756,28,3,4,5,2,0,0,0,
ONCC,0,21,262,1,1,6,1,0,0,0,
OSCC,0,5,29,519,1,18,7,0,0,0,
NRCC,0,14,4,0,309,2,1,5,0,0,
GBCC,0,9,7,2,6,388,20,1,0,0,
SWCC,0,1,3,2,2,2,151,1,0,0,
RMCC,0,3,2,0,8,1,21,108,0,0,
EACC,0,2,0,1,1,0,0,1,20,0,
SACC,0,0,0,1,0,0,0,1,1,18,
Crew_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC,
AICC,0,0,0,0,0,0,0,0,0,0,
NWCC,0,32,0,0,1,0,0,0,0,0,
ONCC,0,5,59,0,1,0,0,0,0,0,
OSCC,0,7,20,264,0,2,8,0,0,0,
NRCC,0,0,0,0,8,0,0,0,0,0,
GBCC,0,0,0,0,0,14,0,0,0,0,
SWCC,0,0,0,0,0,0,0,0,0,0,
RMCC,0,0,0,0,0,0,0,0,0,0,
EACC,0,0,0,0,0,0,0,0,0,0,
SACC,0,0,0,0,0,0,0,0,0,0,
Engine_3,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC,
AICC,0,0,0,0,0,0,0,0,0,0,
NWCC,1,549,2,0,1,0,0,1,0,0,
ONCC,0,4,"2,723",0,0,0,0,0,0,0,
OSCC,0,0,6,"3,762",0,1,0,0,0,0,
NRCC,0,0,0,0,0,0,0,0,0,0,
GBCC,0,0,0,0,11,411,0,4,0,0,
SWCC,0,0,0,0,0,0,654,11,0,4,
RMCC,0,0,0,0,39,0,0,56,3,13,
EACC,0,0,0,0,0,0,0,0,12,0,
SACC,0,0,0,0,0,0,0,0,0,0,
Engine_4,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC,
AICC,0,0,0,0,0,0,0,0,0,0,
NWCC,0,330,52,0,0,0,0,0,0,0,
ONCC,0,0,0,0,0,0,0,0,0,0,
OSCC,0,0,41,62,0,0,0,0,0,0,
NRCC,0,0,1,0,134,0,0,8,1,0,
GBCC,0,0,6,0,0,504,0,0,0,0,
SWCC,0,0,0,0,0,0,91,0,0,0,
RMCC,0,0,0,0,0,0,2,75,1,1,
EACC,0,0,0,0,0,0,0,0,0,0,
SACC,0,0,0,0,0,0,0,0,0,0,
Engine_5,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC,
AICC,0,0,0,0,0,0,0,0,0,0,
NWCC,0,0,0,0,0,0,0,0,0,0,
ONCC,0,0,0,0,0,0,0,0,0,0,
OSCC,0,0,0,0,0,0,0,0,0,0,
NRCC,0,0,0,0,0,0,0,0,0,0,
